PFP client version: 1.6.1
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
  Supercell size: 5 × 4 × 1
  Number of atoms (perfect): 240
  Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
Estimating energy range ...
  NOTE: Energy range is estimated from imported structures!
  Energy range (min, max): -1083.319505, -1068.137526
Performing Wang-Landau MCMC sampling ...
  Number of energy states: 60
  Energy spacing (eV): 0.257322
  Histogram flatness threshold: 0.8
  Initial modification factor: 2.718282
  Modification factor threshold: 1.00e-06
  Number of F-iterations: 0 + 19
  F-Iteration: 0 	F = 2.718282
  F-Iteration: 3 	MC-Sweep: 520000 	Time(s): 318717.210630
  F-Iteration: 3 	MC-Sweep: 530000 	Time(s): 320403.915677
  F-Iteration: 3 	MC-Sweep: 540000 	Time(s): 321994.147677
  F-Iteration: 3 	MC-Sweep: 550000 	Time(s): 323583.081052
  F-Iteration: 3 	MC-Sweep: 560000 	Time(s): 325164.915998
  F-Iteration: 3 	MC-Sweep: 570000 	Time(s): 326733.758617
  F-Iteration: 3 	MC-Sweep: 580000 	Time(s): 328337.931372
  F-Iteration: 3 	MC-Sweep: 590000 	Time(s): 329967.256500
  F-Iteration: 3 	MC-Sweep: 600000 	Time(s): 331541.195899
  F-Iteration: 3 	MC-Sweep: 610000 	Time(s): 333138.568733
  F-Iteration: 3 	MC-Sweep: 620000 	Time(s): 334690.786591
  F-Iteration: 3 	MC-Sweep: 630000 	Time(s): 336246.074629
  F-Iteration: 3 	MC-Sweep: 640000 	Time(s): 337791.606990
  F-Iteration: 3 	MC-Sweep: 650000 	Time(s): 339385.900140
  F-Iteration: 3 	MC-Sweep: 660000 	Time(s): 340992.163993
  F-Iteration: 3 	MC-Sweep: 670000 	Time(s): 342503.614587
  F-Iteration: 3 	MC-Sweep: 680000 	Time(s): 343997.751530
  F-Iteration: 3 	MC-Sweep: 690000 	Time(s): 345497.623798
  F-Iteration: 3 	MC-Sweep: 700000 	Time(s): 347074.661148
  F-Iteration: 3 	MC-Sweep: 710000 	Time(s): 348643.340913
  F-Iteration: 3 	MC-Sweep: 720000 	Time(s): 350212.062744
  F-Iteration: 3 	MC-Sweep: 730000 	Time(s): 351952.628392
  F-Iteration: 3 	MC-Sweep: 740000 	Time(s): 353814.978631
  F-Iteration: 3 	MC-Sweep: 750000 	Time(s): 355631.379435
  F-Iteration: 3 	MC-Sweep: 760000 	Time(s): 357587.183607
  F-Iteration: 3 	MC-Sweep: 770000 	Time(s): 359900.685837
  F-Iteration: 3 	MC-Sweep: 780000 	Time(s): 362155.557430
  F-Iteration: 3 	MC-Sweep: 790000 	Time(s): 364690.877885
  F-Iteration: 3 	MC-Sweep: 800000 	Time(s): 367409.537098
  F-Iteration: 3 	MC-Sweep: 810000 	Time(s): 369964.548393
  F-Iteration: 3 	MC-Sweep: 820000 	Time(s): 372483.740598
  F-Iteration: 3 	MC-Sweep: 830000 	Time(s): 374995.269055
  F-Iteration: 3 	MC-Sweep: 840000 	Time(s): 377544.505987
  F-Iteration: 3 	MC-Sweep: 850000 	Time(s): 380051.207023
  F-Iteration: 3 	MC-Sweep: 860000 	Time(s): 382991.436960
  F-Iteration: 3 	MC-Sweep: 870000 	Time(s): 385893.075772
  F-Iteration: 3 	MC-Sweep: 880000 	Time(s): 388794.044462
  F-Iteration: 3 	MC-Sweep: 890000 	Time(s): 391765.082493
  F-Iteration: 3 	MC-Sweep: 900000 	Time(s): 394613.205454
  F-Iteration: 3 	MC-Sweep: 910000 	Time(s): 397159.999385
  F-Iteration: 3 	MC-Sweep: 920000 	Time(s): 399543.965548
  F-Iteration: 3 	MC-Sweep: 930000 	Time(s): 402107.096812
  F-Iteration: 3 	MC-Sweep: 940000 	Time(s): 404418.881744
  F-Iteration: 3 	MC-Sweep: 950000 	Time(s): 406742.241023
