Executed on: 2023-09-18 02:40:43.125852
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 02420000 	Time(s): 540334.226364
    -- MCMC Step: 02430000 	Time(s): 542051.832186
    -- MCMC Step: 02440000 	Time(s): 543649.334291
    -- MCMC Step: 02450000 	Time(s): 545236.511583
    -- MCMC Step: 02460000 	Time(s): 546797.225081
    -- MCMC Step: 02470000 	Time(s): 548378.531811
    -- MCMC Step: 02480000 	Time(s): 549969.538717
    -- MCMC Step: 02490000 	Time(s): 551572.785024
    -- MCMC Step: 02500000 	Time(s): 553168.957626
    -- MCMC Step: 02510000 	Time(s): 554744.729585
    -- MCMC Step: 02520000 	Time(s): 556298.295019
    -- MCMC Step: 02530000 	Time(s): 557837.213949
    -- MCMC Step: 02540000 	Time(s): 559398.219537
    -- MCMC Step: 02550000 	Time(s): 561007.979830
    -- MCMC Step: 02560000 	Time(s): 562567.417996
    -- MCMC Step: 02570000 	Time(s): 564131.728076
    -- MCMC Step: 02580000 	Time(s): 565703.870963
    -- MCMC Step: 02590000 	Time(s): 567270.046588
    -- MCMC Step: 02600000 	Time(s): 568824.632889
    -- MCMC Step: 02610000 	Time(s): 570361.682522
    -- MCMC Step: 02620000 	Time(s): 571911.719284
    -- MCMC Step: 02630000 	Time(s): 573444.930694
    -- MCMC Step: 02640000 	Time(s): 574983.424396
    -- MCMC Step: 02650000 	Time(s): 576525.303691
    -- MCMC Step: 02660000 	Time(s): 578081.080718
    -- MCMC Step: 02670000 	Time(s): 579640.090932
